Название
Абхазия
Австралия
Австрия
Азербайджан
Албания
Алжир
Американское Самоа
Ангилья
Ангола
Андорра
Антарктида
Антигуа и Барбуда
Аргентина
Армения
Аруба
Афганистан
Багамы
Бангладеш
Барбадос
Бахрейн
Беларусь
Белиз
Бельгия
Бенин
Бермуды
Болгария
Боливия
Бонайре, Саба и Синт-Эстатиус
Босния и Герцеговина
Ботсвана
Бразилия
Британская территория в Индийском океане
Бруней-Даруссалам
Буркина-Фасо
Бурунди
Бутан
Вануату
Великобритания
Венгрия
Венесуэла
Виргинские острова, Британские
Виргинские острова, США
Вьетнам
Габон
Гаити
Гайана
Гамбия
Гана
Гваделупа
Гватемала
Гвинея
Гвинея-Бисау
Германия
Гернси
Гибралтар
Гондурас
Гонконг
Гренада
Гренландия
Греция
Грузия
Гуам
Дания
Джерси
Джибути
Доминика
Доминиканская Республика
Египет
Замбия
Западная Сахара
Зимбабве
Израиль
Индия
Индонезия
Иные территории
Иордания
Ирак
Иран, Исламская Республика
Ирландия
Исландия
Испания
Италия
Йемен
Кабо-Верде
Казахстан
Камбоджа
Камерун
Канада
Катар
Кения
Кипр
Кирибати
Китай
Кокосовые (Килинг) острова
Колумбия
Коморы
Конго
Конго, Демократическая Республика
Косово
Коста-Рика
Кот д\'Ивуар
Куба
Кувейт
Кыргызстан
Кюрасао
Лаос
Латвия
Лесото
Либерия
Ливан
Ливия
Литва
Лихтенштейн
Люксембург
Маврикий
Мавритания
Мадагаскар
Майотта
Макао
Македония
Малави
Малайзия
Мали
Малые Тихоокеанские отдаленные острова Соединенных Штатов
Мальдивы
Мальта
Марокко
Мартиника
Маршалловы Острова
Мексика
Микронезия, Федеративные Штаты
Мозамбик
Молдова, Республика
Монако
Монголия
Монтсеррат
Мьянма
Намибия
Науру
Непал
Нигер
Нигерия
Нидерландские Антилы
Нидерланды
Никарагуа
Ниуэ
Новая Зеландия
Новая Каледония
Норвегия
Объединенные Арабские Эмираты
Оман
Остров Буве
Остров Клиппертон
Остров Мэн
Остров Норфолк
Остров Рождества
Остров Святого Мартина
Остров Херд и острова Макдональд
Острова Кайман
Острова Кука
Острова Теркс и Кайкос
Пакистан
Палау
Палестина
Панама
Папский Престол (Государство - город Ватикан)
Папуа - Новая Гвинея
Парагвай
Перу
Питкерн
Польша
Португалия
Пуэрто-Рико
Реюньон
Россия
Руанда
Румыния
Сальвадор
Самоа
Сан-Марино
Сан-Томе и Принсипи
Саудовская Аравия
Свазиленд
Святая Елена
Северная Корея
Северные Марианские острова
Сейшелы
Сен-Бартельми
Сенегал
Сент-Винсент
Сент-Китс и Невис
Сент-Люсия
Сент-Пьер и Микелон
Сербия
Сингапур
Синт-Мартен
Сирийская Арабская Республика
Словакия
Словения
Соединенные Штаты
Соломоновы Острова
Сомали
Судан
Суринам
Сьерра-Леоне
Таджикистан
Таиланд
Тайвань (Китай)
Танзания, Объединенная Республика
Тимор-Лесте
Того
Токелау
Тонга
Тринидад и Тобаго
Тувалу
Тунис
Туркменистан
Турция
Уганда
Узбекистан
Украина
Уоллис и Футуна
Уругвай
Фарерские острова
Фиджи
Филиппины
Финляндия
Фолклендские острова (Мальвинские)
Франция
Французская Гвиана
Французская Полинезия
Французские Южные территории
Хорватия
Центрально-Африканская Республика
Чад
Черногория
Чехия
Чили
Швейцария
Швеция
Шпицберген и Ян Майен
Шри-Ланка
Эквадор
Экваториальная Гвинея
Эландские острова
Эритрея
Эстония
Эфиопия
Южная Джорджия и Южные Сандвичевы острова
Южная Корея
Южная Осетия
Южно-Африканская Республика
Южный Судан
Ямайка
Япония
